dataset,feature_mode,method,detection_type,k,timestamp,nodes,score,outlier_count
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754326.0,spine4,1.0137440870282632,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754331.0,spine4,1.0992263119477346,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754335.0,spine4,1.146712889933638,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754402.0,leaf2,1.635740382826148,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754414.0,leaf1,2.245556299581901,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754417.0,spine4,3.46389015903816,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754418.0,leaf1,24.12429971926189,4
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754419.0,spine3,3.1917327154735897,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754420.0,leaf2,7.998466735025652,3
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754421.0,spine4,6.2956683802546,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754423.0,leaf1,93.15981845245722,4
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754424.0,leaf3,15.111911605101797,3
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754425.0,leaf5,7.400832369973666,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754426.0,spine4,12.505377147727259,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754427.0,leaf1,152.65350321333042,4
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754428.0,spine3,15.925391675776552,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754429.0,leaf2,20.329210509850263,3
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754430.0,spine4,18.108477065443427,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754431.0,leaf1,203.67780072606152,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754432.0,spine2,22.803217207463764,3
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754433.0,leaf2,25.35237453600428,3
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754434.0,leaf5,10.753735972066863,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754435.0,spine4,23.242137956127554,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754436.0,leaf1,277.8257333564218,4
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754437.0,spine3,20.78385193962626,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754438.0,leaf2,33.43683272754276,3
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754439.0,spine4,28.15234561938773,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754440.0,leaf1,284.09976895395573,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754441.0,spine2,34.11516204353708,3
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754442.0,leaf2,33.836795233367205,4
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754443.0,leaf6,12.847735547512631,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754444.0,leaf1,316.37464204309384,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754445.0,spine1,28.88742736988312,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754446.0,spine2,37.465267684675396,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754447.0,leaf3,35.57332487138729,3
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754448.0,leaf1,344.1257587041494,3
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754449.0,leaf8,17.62183340643713,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754450.0,spine2,38.177726605564956,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754451.0,leaf3,37.4872573616646,4
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754452.0,leaf6,15.240398787549147,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754453.0,leaf1,367.80496137334814,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754454.0,spine1,33.418354607994516,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754455.0,spine2,40.834947489481124,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754456.0,leaf3,40.056045952816206,4
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754457.0,leaf1,388.0641625553514,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754458.0,leaf8,19.951982642866668,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754459.0,spine2,44.489021532658626,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754460.0,leaf3,42.30833017656851,4
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754461.0,leaf6,16.733103605599293,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754462.0,leaf1,406.5955928074483,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754463.0,leaf8,19.924032278495257,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754464.0,spine2,43.71650336676246,3
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754465.0,leaf3,45.271066602574,4
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754466.0,leaf1,404.8164012343459,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754467.0,leaf8,19.188768280558342,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754468.0,spine2,42.848182248884534,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754469.0,leaf3,45.48180538104853,4
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754470.0,leaf6,14.714434257410527,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754471.0,leaf1,401.1340801463325,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754472.0,leaf8,17.56848953877244,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754473.0,spine2,40.22629500446659,4
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754474.0,leaf3,41.67291875669046,3
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754475.0,leaf1,346.4918377462928,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754476.0,leaf8,14.959960848202792,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754477.0,spine2,34.055343822188945,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754478.0,leaf3,35.0800663228157,4
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754479.0,leaf6,10.80940659529183,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754480.0,leaf1,294.100029510076,3
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754482.0,spine2,29.00246275931781,5
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754483.0,leaf3,29.885405981405846,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754484.0,leaf1,249.8518489221808,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754485.0,leaf8,10.102407012863722,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754486.0,spine2,24.56497390140869,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754487.0,leaf3,24.7070180907769,4
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754488.0,leaf6,7.7998638820427,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754489.0,leaf1,191.33402351186206,3
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754491.0,leaf3,21.49696891098644,6
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754492.0,leaf6,6.532327339969839,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754493.0,leaf1,181.1496728483544,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754494.0,leaf8,7.742951179549217,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754495.0,spine2,17.57347085452436,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754496.0,leaf3,16.076356569588228,4
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754497.0,leaf6,5.401822300722176,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754498.0,leaf1,145.17286823103902,3
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754500.0,leaf3,15.018877405070267,6
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754501.0,leaf6,4.428276808754617,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754502.0,leaf1,129.8004067669474,2
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754503.0,leaf8,5.478738776571005,1
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,1498754504.0,spine2,12.696361536789354,2
