summary_scope,summary_key,dataset,feature_mode,method,detection_type,k,alarm_precision,event_recall,alarm_event_f1,false_alarm_rate_per_hour,detection_delay_seconds_mean,runtime_seconds,number_of_alarms,event_level_detection_count,event_count
Best overall,all,bgpclear_second,ControlPlane,DenStream,temporal,4,1.0,0.875,0.9333333333333333,0.0,29.571428571428573,0.17747029999736696,8,7,8
Best per method,DBSCAN,bgpclear_second,CompleteFeatures,DBSCAN,spatial,5,0.8421052631578947,0.75,0.7933884297520661,17.447495961227787,40.5,0.20718500000657514,57,6,8
Best per method,DenStream,bgpclear_second,ControlPlane,DenStream,temporal,4,1.0,0.875,0.9333333333333333,0.0,29.571428571428573,0.17747029999736696,8,7,8
Best per method,MiniBatchKMeans,bgpclear_second,CompleteFeatures,MiniBatchKMeans,spatial,5,0.5714285714285714,0.875,0.691358024691358,87.23747980613892,62.0,4.5824797001550905,105,7,8
Best per dataset,bgpclear_apptraffic_2hourRun,bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,temporal,3,1.0,0.8333333333333334,0.9090909090909091,0.0,27.3,0.776478500047233,18,10,12
Best per dataset,bgpclear_first,bgpclear_first,ControlPlane,DenStream,spatial,2,0.6666666666666666,0.8181818181818182,0.7346938775510203,19.270659083305453,11.222222222222221,0.3007274999981746,48,9,11
Best per dataset,bgpclear_no_traffic_2hourRun,bgpclear_no_traffic_2hourRun,ControlPlane,DenStream,temporal,3,0.8888888888888888,0.9166666666666666,0.9025641025641026,0.8904279000742024,34.81818181818182,0.5965076001593843,18,11,12
Best per dataset,bgpclear_second,bgpclear_second,ControlPlane,DenStream,temporal,4,1.0,0.875,0.9333333333333333,0.0,29.571428571428573,0.17747029999736696,8,7,8
Best per dataset,portflap_first,portflap_first,CompleteFeatures,DBSCAN,spatial,2,0.25357142857142856,1.0,0.4045584045584045,392.48826291079814,23.0,0.19826350000221282,280,4,4
Best per dataset + method,bgpclear_apptraffic_2hourRun | DBSCAN,bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,4,0.4107142857142857,0.8333333333333334,0.5502392344497608,29.380487201681714,46.2,1.947215000167489,112,10,12
Best per dataset + method,bgpclear_apptraffic_2hourRun | DenStream,bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,temporal,3,1.0,0.8333333333333334,0.9090909090909091,0.0,27.3,0.776478500047233,18,10,12
Best per dataset + method,bgpclear_apptraffic_2hourRun | MiniBatchKMeans,bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,spatial,4,0.18089430894308944,0.9166666666666666,0.3021604938271605,358.79807097811306,18.636363636363637,6.942902999988291,984,11,12
Best per dataset + method,bgpclear_first | DBSCAN,bgpclear_first,CompleteFeatures,DBSCAN,spatial,4,0.4895833333333333,1.0,0.6573426573426574,118.0327868852459,20.363636363636363,0.24253829999361187,192,11,11
Best per dataset + method,bgpclear_first | DenStream,bgpclear_first,ControlPlane,DenStream,spatial,2,0.6666666666666666,0.8181818181818182,0.7346938775510203,19.270659083305453,11.222222222222221,0.3007274999981746,48,9,11
Best per dataset + method,bgpclear_first | MiniBatchKMeans,bgpclear_first,CompleteFeatures,MiniBatchKMeans,spatial,5,0.24623115577889448,0.9090909090909091,0.38750494266508506,180.66242890598863,47.0,5.118292300030589,199,10,11
Best per dataset + method,bgpclear_no_traffic_2hourRun | DBSCAN,bgpclear_no_traffic_2hourRun,CompleteFeatures,DBSCAN,spatial,4,0.3614457831325301,0.6666666666666666,0.46875000000000006,23.596339351966364,27.625,0.40988600003765896,83,8,12
Best per dataset + method,bgpclear_no_traffic_2hourRun | DenStream,bgpclear_no_traffic_2hourRun,ControlPlane,DenStream,temporal,3,0.8888888888888888,0.9166666666666666,0.9025641025641026,0.8904279000742024,34.81818181818182,0.5965076001593843,18,11,12
Best per dataset + method,bgpclear_no_traffic_2hourRun | MiniBatchKMeans,bgpclear_no_traffic_2hourRun,CompleteFeatures,MiniBatchKMeans,spatial,5,0.2558139534883721,0.6666666666666666,0.3697478991596639,71.23423200593619,46.625,6.438372600066941,215,8,12
Best per dataset + method,bgpclear_second | DBSCAN,bgpclear_second,CompleteFeatures,DBSCAN,spatial,5,0.8421052631578947,0.75,0.7933884297520661,17.447495961227787,40.5,0.20718500000657514,57,6,8
Best per dataset + method,bgpclear_second | DenStream,bgpclear_second,ControlPlane,DenStream,temporal,4,1.0,0.875,0.9333333333333333,0.0,29.571428571428573,0.17747029999736696,8,7,8
Best per dataset + method,bgpclear_second | MiniBatchKMeans,bgpclear_second,CompleteFeatures,MiniBatchKMeans,spatial,5,0.5714285714285714,0.875,0.691358024691358,87.23747980613892,62.0,4.5824797001550905,105,7,8
Best per dataset + method,portflap_first | DBSCAN,portflap_first,CompleteFeatures,DBSCAN,spatial,2,0.25357142857142856,1.0,0.4045584045584045,392.48826291079814,23.0,0.19826350000221282,280,4,4
Best per dataset + method,portflap_first | DenStream,portflap_first,CompleteFeatures,DenStream,spatial,4,0.2558139534883721,0.5,0.3384615384615385,60.093896713615024,66.5,0.5662855999544263,43,2,4
Best per dataset + method,portflap_first | MiniBatchKMeans,portflap_first,CompleteFeatures,MiniBatchKMeans,spatial,5,0.3333333333333333,0.5,0.4,30.046948356807512,154.0,4.54767840000568,24,2,4
Best DenStream per feature mode,CompleteFeatures,bgpclear_second,CompleteFeatures,DenStream,spatial,5,0.8,0.75,0.7741935483870969,23.263327948303715,40.5,0.878973500104621,60,6,8
Best DenStream per feature mode,ControlPlane,bgpclear_second,ControlPlane,DenStream,temporal,4,1.0,0.875,0.9333333333333333,0.0,29.571428571428573,0.17747029999736696,8,7,8
Best DenStream per feature mode,DataPlane,bgpclear_second,DataPlane,DenStream,spatial,5,0.8,0.75,0.7741935483870969,23.263327948303715,40.5,0.8341112000634894,60,6,8
Best DenStream per detection type,spatial,bgpclear_second,ControlPlane,DenStream,spatial,1,0.6909090909090909,1.0,0.8172043010752689,65.91276252019385,2.625,0.17747029999736696,110,8,8
Best DenStream per detection type,temporal,bgpclear_second,ControlPlane,DenStream,temporal,4,1.0,0.875,0.9333333333333333,0.0,29.571428571428573,0.17747029999736696,8,7,8
