dataset,feature_mode,method,detection_type,k,event_id,node,event,event_start,event_end,detected,first_alarm_timestamp,detection_delay_seconds
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,1,0,leaf3,clearBGP,1519090293.0,1519090593.0,True,1519090305.0,12.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,1,1,spine4,clearBGP,1519090901.0,1519091201.0,True,1519090911.0,10.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,1,2,leaf4,clearBGP,1519091509.0,1519091809.0,False,,
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,1,3,leaf8,clearBGP,1519092116.0,1519092416.0,True,1519092127.0,11.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,1,4,leaf5,clearBGP,1519092724.0,1519093024.0,True,1519092735.0,11.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,1,5,spine2,clearBGP,1519093331.0,1519093631.0,True,1519093349.0,18.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,1,6,leaf7,clearBGP,1519093939.0,1519094239.0,True,1519093946.0,7.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,1,7,leaf1,clearBGP,1519094546.0,1519094846.0,True,1519094555.0,9.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,1,8,leaf6,clearBGP,1519095153.0,1519095453.0,True,1519095162.0,9.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,1,9,spine1,clearBGP,1519095761.0,1519096061.0,True,1519095769.0,8.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,1,10,spine3,clearBGP,1519096368.0,1519096668.0,True,1519096380.0,12.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,1,11,leaf2,clearBGP,1519096976.0,1519097276.0,True,1519096984.0,8.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,2,0,leaf3,clearBGP,1519090293.0,1519090593.0,True,1519090310.0,17.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,2,1,spine4,clearBGP,1519090901.0,1519091201.0,True,1519090916.0,15.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,2,2,leaf4,clearBGP,1519091509.0,1519091809.0,False,,
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,2,3,leaf8,clearBGP,1519092116.0,1519092416.0,True,1519092127.0,11.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,2,4,leaf5,clearBGP,1519092724.0,1519093024.0,True,1519092740.0,16.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,2,5,spine2,clearBGP,1519093331.0,1519093631.0,True,1519093343.0,12.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,2,6,leaf7,clearBGP,1519093939.0,1519094239.0,True,1519093952.0,13.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,2,7,leaf1,clearBGP,1519094546.0,1519094846.0,True,1519094560.0,14.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,2,8,leaf6,clearBGP,1519095153.0,1519095453.0,True,1519095167.0,14.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,2,9,spine1,clearBGP,1519095761.0,1519096061.0,True,1519095769.0,8.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,2,10,spine3,clearBGP,1519096368.0,1519096668.0,True,1519096386.0,18.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,2,11,leaf2,clearBGP,1519096976.0,1519097276.0,True,1519096994.0,18.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,3,0,leaf3,clearBGP,1519090293.0,1519090593.0,True,1519090310.0,17.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,3,1,spine4,clearBGP,1519090901.0,1519091201.0,True,1519090927.0,26.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,3,2,leaf4,clearBGP,1519091509.0,1519091809.0,False,,
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,3,3,leaf8,clearBGP,1519092116.0,1519092416.0,True,1519092133.0,17.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,3,4,leaf5,clearBGP,1519092724.0,1519093024.0,True,1519092740.0,16.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,3,5,spine2,clearBGP,1519093331.0,1519093631.0,True,1519093349.0,18.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,3,6,leaf7,clearBGP,1519093939.0,1519094239.0,True,1519093952.0,13.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,3,7,leaf1,clearBGP,1519094546.0,1519094846.0,True,1519094560.0,14.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,3,8,leaf6,clearBGP,1519095153.0,1519095453.0,True,1519095167.0,14.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,3,9,spine1,clearBGP,1519095761.0,1519096061.0,True,1519095774.0,13.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,3,10,spine3,clearBGP,1519096368.0,1519096668.0,True,1519096386.0,18.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,3,11,leaf2,clearBGP,1519096976.0,1519097276.0,True,1519097016.0,40.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,4,0,leaf3,clearBGP,1519090293.0,1519090593.0,True,1519090360.0,67.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,4,1,spine4,clearBGP,1519090901.0,1519091201.0,False,,
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,4,2,leaf4,clearBGP,1519091509.0,1519091809.0,False,,
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,4,3,leaf8,clearBGP,1519092116.0,1519092416.0,True,1519092133.0,17.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,4,4,leaf5,clearBGP,1519092724.0,1519093024.0,True,1519092773.0,49.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,4,5,spine2,clearBGP,1519093331.0,1519093631.0,True,1519093427.0,96.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,4,6,leaf7,clearBGP,1519093939.0,1519094239.0,True,1519093973.0,34.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,4,7,leaf1,clearBGP,1519094546.0,1519094846.0,True,1519094560.0,14.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,4,8,leaf6,clearBGP,1519095153.0,1519095453.0,True,1519095167.0,14.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,4,9,spine1,clearBGP,1519095761.0,1519096061.0,True,1519095779.0,18.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,4,10,spine3,clearBGP,1519096368.0,1519096668.0,True,1519096386.0,18.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,4,11,leaf2,clearBGP,1519096976.0,1519097276.0,True,1519097111.0,135.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,5,0,leaf3,clearBGP,1519090293.0,1519090593.0,False,,
