dataset,feature_mode,method,detection_type,k,alarm_precision,event_recall,alarm_event_f1,precision,recall,f1,true_positive_alarms,false_positives,false_alarm_rate_per_hour,detection_delay_seconds_mean,detection_delay_seconds_median,runtime_seconds,number_of_alarms,event_level_detection_count,event_count
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,1,0.15849486887115166,0.9166666666666666,0.2702607158638975,0.15849486887115166,0.9166666666666666,0.2702607158638975,278,1476,657.0545319648819,10.454545454545455,10.0,1.947215000167489,1754,11,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,2,0.20202020202020202,0.9166666666666666,0.33107599699021817,0.20202020202020202,0.9166666666666666,0.33107599699021817,180,711,316.50797576357115,14.181818181818182,14.0,1.947215000167489,891,11,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,3,0.30809399477806787,0.9166666666666666,0.4611831586427429,0.30809399477806787,0.9166666666666666,0.4611831586427429,118,265,117.96710770372204,18.727272727272727,17.0,1.947215000167489,383,11,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,4,0.4107142857142857,0.8333333333333334,0.5502392344497608,0.4107142857142857,0.8333333333333334,0.5502392344497608,46,66,29.380487201681714,46.2,26.0,1.947215000167489,112,10,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spatial,5,0.48,0.4166666666666667,0.44609665427509293,0.48,0.4166666666666667,0.44609665427509293,12,13,5.787065660937307,50.8,45.0,1.947215000167489,25,5,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,1,0.06735751295336788,0.9166666666666666,0.1254936375603335,0.06735751295336788,0.9166666666666666,0.1254936375603335,13,180,80.12860145913194,9.909090909090908,10.0,1.947215000167489,193,11,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,2,0.0851063829787234,0.9166666666666666,0.15575221238938053,0.0851063829787234,0.9166666666666666,0.15575221238938053,12,129,57.42549771237789,15.272727272727273,15.0,1.947215000167489,141,11,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,3,0.09022556390977443,0.9166666666666666,0.16428126944617297,0.09022556390977443,0.9166666666666666,0.16428126944617297,12,121,53.864226536416474,20.727272727272727,21.0,1.947215000167489,133,11,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,4,0.096,0.9166666666666666,0.173798551678736,0.096,0.9166666666666666,0.173798551678736,12,113,50.30295536045505,26.09090909090909,26.0,1.947215000167489,125,11,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,5,0.09243697478991597,0.9166666666666666,0.16793893129770993,0.09243697478991597,0.9166666666666666,0.16793893129770993,11,108,48.077160875479166,31.545454545454547,31.0,1.947215000167489,119,11,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,DenStream,spatial,1,0.06724422442244224,0.9166666666666666,0.12529699510831585,0.06724422442244224,0.9166666666666666,0.12529699510831585,326,4522,2013.0085322121924,8.090909090909092,8.0,2.3963410001597367,4848,11,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,DenStream,spatial,2,0.12399598393574297,0.9166666666666666,0.21844347965910915,0.12399598393574297,0.9166666666666666,0.21844347965910915,247,1745,776.8022752565847,9.363636363636363,10.0,2.3963410001597367,1992,11,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,DenStream,spatial,3,0.2248062015503876,0.9166666666666666,0.3610639501980758,0.2248062015503876,0.9166666666666666,0.3610639501980758,145,500,222.57944849758874,13.818181818181818,14.0,2.3963410001597367,645,11,12
