dataset,feature_mode,method,node,runtime_seconds,sample_count,feature_count,status
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,leaf1,0.08327689999714494,1456,10,ok
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,leaf2,0.060783599968999624,1447,10,ok
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,leaf3,0.06052669999189675,1446,9,ok
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,leaf5,0.06386039999779314,1460,9,ok
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,leaf6,0.07274060003692284,1444,9,ok
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,leaf7,0.07368969998788089,1453,10,ok
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,leaf8,0.057445299986284226,1452,9,ok
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,spine1,0.059226199984550476,1451,11,ok
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,spine2,0.06731429998762906,1435,11,ok
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,spine3,0.0652299000066705,1437,10,ok
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,spine4,0.06167069997172803,1437,10,ok
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,leaf1,0.3474323999835178,1456,208,ok
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,leaf2,0.2049375000060536,1447,112,ok
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,leaf3,0.24448479997226968,1446,201,ok
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,leaf5,0.21978220000164583,1460,104,ok
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,leaf6,0.09958690003259107,1444,92,ok
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,leaf7,0.1049885000102222,1453,92,ok
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,leaf8,0.22559430002002046,1452,220,ok
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,spine1,0.16651010001078248,1451,160,ok
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,spine2,0.23496530001284555,1435,192,ok
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,spine3,0.27887510001892224,1437,310,ok
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,spine4,0.30007759999716654,1437,320,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DenStream,leaf1,0.3536902999621816,1456,218,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DenStream,leaf2,0.20299669995438308,1447,122,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DenStream,leaf3,0.22806210000999272,1446,210,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DenStream,leaf5,0.20943889999762177,1460,113,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DenStream,leaf6,0.10660530003951862,1444,101,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DenStream,leaf7,0.09788090002257377,1453,102,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DenStream,leaf8,0.2384036000003107,1452,229,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DenStream,spine1,0.17368169996188954,1451,171,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DenStream,spine2,0.21741510002175346,1435,203,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DenStream,spine3,0.2863830999704078,1437,320,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DenStream,spine4,0.31162430002586916,1437,330,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,leaf1,1.5950618999777362,1456,218,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,leaf2,0.034600700018927455,1447,122,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,leaf3,0.042173299996647984,1446,210,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,leaf5,0.033514599956106395,1460,113,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,leaf6,0.03476149996276945,1444,101,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,leaf7,0.033717599988449365,1453,102,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,leaf8,0.041601200005970895,1452,229,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spine1,0.04092200001468882,1451,171,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spine2,0.0425931999925524,1435,203,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spine3,0.05232119996799156,1437,320,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,spine4,0.05526709998957813,1437,330,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,leaf1,0.8194520000251941,1456,218,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,leaf2,0.7461234999937005,1447,122,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,leaf3,0.7546355999656953,1446,210,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,leaf5,0.7164536999771371,1460,113,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,leaf6,0.7677909000194632,1444,101,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,leaf7,0.9468235999811441,1453,102,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,leaf8,1.0165748000144958,1452,229,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,spine1,1.0071263000136241,1451,171,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,spine2,0.9181242000195198,1435,203,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,spine3,1.044592400023248,1437,320,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,spine4,0.8827265999861993,1437,330,ok
bgpclear_first,ControlPlane,DenStream,leaf1,0.0812949999817647,664,12,ok
bgpclear_first,ControlPlane,DenStream,leaf2,0.058367200021166354,671,11,ok
bgpclear_first,ControlPlane,DenStream,leaf3,0.07665679999627173,670,6,ok
bgpclear_first,ControlPlane,DenStream,leaf5,0.08568079996621236,672,10,ok
bgpclear_first,ControlPlane,DenStream,leaf6,0.0703240999719128,671,11,ok
bgpclear_first,ControlPlane,DenStream,leaf7,0.08054579998133704,675,6,ok
bgpclear_first,ControlPlane,DenStream,leaf8,0.0813264999887906,675,10,ok
bgpclear_first,ControlPlane,DenStream,spine1,0.07430350000504404,662,11,ok
bgpclear_first,ControlPlane,DenStream,spine2,0.07393820001743734,662,11,ok
bgpclear_first,ControlPlane,DenStream,spine3,0.07293309998931363,665,11,ok
bgpclear_first,ControlPlane,DenStream,spine4,0.07193929998902604,663,10,ok
bgpclear_first,DataPlane,DenStream,leaf1,0.3391042999573983,664,201,ok
bgpclear_first,DataPlane,DenStream,leaf2,0.25988079997478053,671,205,ok
